HEAD_0, HEAD_1, HEAD_2, HEAD_3
53.250000, 45.910000, -33097.000000, -12940.000000
52.790001, 45.660000, -32908.000000, -13104.000000
52.340000, 45.439999, -32719.000000, -13266.000000
51.880001, 45.200001, -32527.000000, -13427.000000
51.419998, 44.980000, -32330.000000, -13591.000000
50.970001, 44.770000, -32133.000000, -13753.000000
50.520000, 44.549999, -31933.000000, -13914.000000
50.049999, 44.340000, -31727.000000, -14078.000000
49.599998, 44.130001, -31523.000000, -14239.000000
49.139999, 43.910000, -31312.000000, -14404.000000
48.680000, 43.709999, -31099.000000, -14568.000000
48.230000, 43.520000, -30887.000000, -14729.000000
47.770000, 43.310001, -30667.000000, -14893.000000
47.299999, 43.119999, -30444.000000, -15056.000000
46.849998, 42.930000, -30222.000000, -15217.000000
46.389999, 42.740002, -29993.000000, -15380.000000
45.930000, 42.549999, -29761.000000, -15544.000000
45.470001, 42.369999, -29527.000000, -15708.000000
45.009998, 42.189999, -29290.000000, -15872.000000
44.549999, 42.009998, -29049.000000, -16035.000000
44.090000, 41.830002, -28804.000000, -16198.000000
43.630001, 41.660000, -28556.000000, -16361.000000
43.160000, 41.480000, -28304.000000, -16523.000000
42.700001, 41.310001, -28048.000000, -16685.000000
42.240002, 41.139999, -27789.000000, -16846.000000
41.779999, 40.980000, -27527.000000, -17009.000000
41.320000, 40.810001, -27262.000000, -17171.000000
40.860001, 40.650002, -26993.000000, -17333.000000
40.400002, 40.490002, -26720.000000, -17494.000000
39.939999, 40.330002, -26443.000000, -17653.000000
39.480000, 40.169998, -26162.000000, -17813.000000
39.009998, 40.020000, -25872.000000, -17973.000000
38.549999, 39.860001, -25583.000000, -18131.000000
38.090000, 39.709999, -25290.000000, -18287.000000
37.630001, 39.549999, -24994.000000, -18445.000000
37.160000, 39.410000, -24688.000000, -18604.000000
36.700001, 39.259998, -24384.000000, -18760.000000
36.230000, 39.110001, -24075.000000, -18913.000000
35.770000, 38.970001, -23757.000000, -19068.000000
35.299999, 38.820000, -23440.000000, -19219.000000
34.840000, 38.680000, -23119.000000, -19368.000000
34.380001, 38.540001, -22788.000000, -19518.000000
33.910000, 38.400002, -22459.000000, -19664.000000
33.450001, 38.259998, -22119.000000, -19814.000000
32.980000, 38.119999, -21781.000000, -19959.000000
32.520000, 37.980000, -21432.000000, -20104.000000
32.049999, 37.840000, -21086.000000, -20245.000000
31.590000, 37.709999, -20730.000000, -20385.000000
31.129999, 37.570000, -20375.000000, -20520.000000
30.660000, 37.439999, -20010.000000, -20655.000000
30.200001, 37.299999, -19648.000000, -20786.000000
29.730000, 37.169998, -19274.000000, -20918.000000
29.270000, 37.049999, -18902.000000, -21047.000000
28.799999, 36.910000, -18519.000000, -21174.000000
28.340000, 36.790001, -18140.000000, -21296.000000
27.870001, 36.660000, -17750.000000, -21417.000000
27.400000, 36.529999, -17357.000000, -21534.000000
26.940001, 36.410000, -16967.000000, -21646.000000
26.469999, 36.279999, -16567.000000, -21757.000000
26.010000, 36.160000, -16169.000000, -21862.000000
25.540001, 36.029999, -15758.000000, -21969.000000
25.070000, 35.910000, -15345.000000, -22072.000000
24.610001, 35.779999, -14935.000000, -22168.000000
24.139999, 35.660000, -14516.000000, -22263.000000
23.670000, 35.540001, -14095.000000, -22352.000000
23.200001, 35.410000, -13670.000000, -22438.000000
22.740000, 35.299999, -13250.000000, -22518.000000
22.270000, 35.180000, -12820.000000, -22595.000000
21.799999, 35.049999, -12385.000000, -22668.000000
21.340000, 34.939999, -11953.000000, -22738.000000
